1394	2778
100290337	4214
122704	54460
4790	79155
2597	70
5923	7157
509	6122
4067	933
398	998
1748	5976
1537	55967
10989	54927
55890	7920
6629	9140
6173	8342
6193	79084
7879	83547
56893	6598
8543	9659
6498	7329
5564	6122
51729	79228
125115	79165
2177	4609
11017	6427
10567	123920
1153	9589
1457	2287
4607	84676
4678	8357
5295	7098
4141	7030
10399	6531
26191	5170
27316	9939
10128	6146
51755	6434
221692	58
27230	3337
2033	3233
5996	8666
5063	6853
5566	596
339	387569
10399	920
217	84532
10449	6342
5705	8856
4700	4711
10206	396
10577	4864
5903	7341
2273	9659
1027	10987
148	84687
2091	6229
5083	7088
10291	24148
6217	7532
9343	94104
10083	64072
6688	9636
71	93661
2810	5774
1938	6125
3911	84280
51021	54460
22948	29966
5558	7150
22907	84844
23774	9767
58	84962
27030	27030
3275	6256
386677	84527
3749	5579
3718	3932
10289	55720
5310	87
391257	7329
79959	8812
2885	817
4209	8751
347733	4790
6159	7533
23398	2483
10313	6252
259266	5347
2058	9140
10849	916
5110	7077
11052	57819
114609	7189
125115	26152
130502	56658
23385	84898
10392	3303
3131	4602
6141	9129
196	9978
2533	8631
1019	1022
3490	6382
6427	7536
11156	29927
5698	6772
2353	5104
4736	6142
4137	4741
55763	7204
4163	81876
1432	2004
1499	51762
84365	983
7431	9212
706	9256
145270	43
9456	9456
4802	6908
2791	2793
3178	4792
6160	64960
388387	54507
5159	9368
117854	117854
1933	1937
10114	355
409	9774
5245	6187
4478	4478
5584	624
220134	26258
1915	26608
5733	80125
51021	9801
6160	6207
3191	7150
23521	3007
6632	83443
4223	8675
54534	64976
11218	57835
257202	51
5479	7428
6884	8148
2902	5516
5408	9388
10783	2902
497661	55131
28957	51650
2923	3914
51742	8819
254065	26043
2175	26121
409	9020
28966	6457
55917	9146
54954	7024
661	84528
5424	5557
1208	5406
1608	5331
261726	5537
579	7091
4694	4710
222	84532
26986	9533
7490	9391
1459	8665
60490	705
23248	9448
2810	9729
4528	4790
22826	23451
293	3881
285093	81704
10254	26994
10772	7532
203068	55207
51412	6606
55157	7965
22985	6426
7327	79102
64375	64375
131	224
5693	5716
10492	6629
3183	4691
1558	642
22800	5074
54908	767
2091	8241
55352	8368
2932	8517
6883	6883
5347	9701
4086	4086
2908	7157
53904	81488
5478	79800
2793	654364
10492	51362
1176	2647
5250	6136
3312	409
2130	2185
25	6654
23517	6434
1537	4696
23450	8450
23268	23268
3315	5582
26043	8450
79968	8450
5496	9584
150094	7534
23392	5108
6865	6866
5887	7431
1545	2099
26586	9212
6546	859
4137	5568
23345	6134
4292	641
4172	472
29093	51318
27089	4694
2099	5594
2623	5469
301	7419
2040	5567
4435	7157
10982	22919
2091	4641
5581	58
7531	84952
6464	6654
150684	170622
